note_id,last modification time,tags,Front,Front_alt,Back,Part of Speech,Sound,Sound Example Sentence,Image,Note,Sanskrit,Question,Spelling Hint
1683007743834,1702724695,LRZTP LRZTP_Colloquial_Misc,མྱུར་དུ་,,"fast, མགྱོགས་པ་ (more written)",adv,,,"""<img alt=""""Grad Hacker: How to Act Productive Tip #1 - Walk Fast"""" src=""""paste-e00f33f771c65cc871c6dede83d87e406cef2aa1.jpg"""">""",,,,
1683007796233,1702724695,LRZTP,མྱོང་བ་,,"experience, to experience","v, n",,,,,,,
1683009794576,1702724695,LRZTP LRZTP_Colloquial_Misc,ཀྲམ་ག,,coin,n,,,"""<img alt=""""1851 G$1 MS Gold Dollars | NGC"""" src=""""paste-5deb71e0851f1b0f276771af7004897197aa69be.jpg"""">""",,,,
1683009857235,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁྲ་ཁྲ་,,"colorful, many colors",adj,,,"""<img src=""""paste-fff92793d26a1276688a400a14ed2502f6075fb3.jpg"""">""",,,,
1683009890794,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁྲག,,blood,n,,,"""<img alt=""""Types Of Blood Diseases | Types Of"""" src=""""paste-198e3167d910010f08dd504b4f767b2713883977.png"""">""",,,,
1683009906163,1702724695,LRZTP LRZTP_Colloquial_Misc,རྣག་ཁྲག,,pus and blood,n,,,,,,,
1683009963046,1702724695,LRZTP LRZTP_Colloquial_Misc,སྣ་ཁྲག,,nose bleed,n,,,"""<img alt=""""Seven Things About Nosebleeds And Sinus Cancer You Have To Experience It Yourself. | nosebleeds ..."""" src=""""paste-fd95536cad9206b80f94f51b63587f9831e475e0.jpg"""">""",,,,
1683010003169,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁྲི་,,"(1) throne<br>(2) 10,000",n,,,"""<img alt=""""Buddhist Throne - Burma - early 20th century - Catawiki"""" src=""""paste-4782226ac3ea4d788ea7313820ac63e8e18a2ae4.jpg"""">""","""ཉལ་ཁྲི་ bed<br>འཁྲི་ attachment, become attached, coiled around, entangled<br><br><span style=""""color: rgb(2, 2, 2);"""">རྒྱལ་དབང་མཆོག་གི་སྐུ་པུར་དེ་ནོར་བུ་གླིང་གར་བཞུགས་ཁྲིའི་སྟེང་ཞལ་ལྷོར་བལྟས་ཏེ་བཞུགས་པ་</span><br style=""""color: rgb(2, 2, 2);""""><span style=""""color: rgb(2, 2, 2);"""">The body of the Supreme Lorf of the Conquerors [the Dalai Lama] was placed on his throne facing south toward&nbsp;Norbulingka ...&nbsp;</span>""",,,
1683010012559,1702724695,LRZTP LRZTP_Colloquial_Misc,ཁྲིམས་,,"law, rule",n,,,"""<img src=""""paste-2f99a3f86dd3eaf51373cec2e3d2414b09be2b10.jpg"""">""",ཁྲིམས་དང་འགལ་ན་ཆད་པ་སྡད་གི་རེད། ,,,
1683010139411,1702724695,LRZTP LRZTP_Colloquial_Misc,གྲུ་མོ་,,elbow,n,,,"""<img alt=""""Elbow injury treatments | Orthopedic Surgeon Las Vegas NV"""" src=""""paste-db21e57e50b7e7f1a2e37760f5bb44e06422167f.jpg"""">""",,,,
1683010233948,1702724695,LRZTP LRZTP_Colloquial_Misc,གྲུ་ཞིབ་,,flour [wheat-powder],n,,,"""<img src=""""paste-2a0577560ce50cb270a18416a7502c1163192364.jpg"""">""",,,,
1683010458226,1702724695,LRZTP LRZTP_Colloquial_Misc,ཐྲིག་ཐྲིག,,"sound of shoes, creaking of shoes",n,,,"""<img alt=""""Creaking Floors - Buyers Ask"""" src=""""paste-e1445bd9bc0b9b9596a52faef407017f805355df.jpg"""">""",,,,
1683010474286,1702724695,LRZTP LRZTP_Colloquial_Misc,དྲིལ་བུ་,,bell,n,,,"""<img alt=""""Bell And Dorje : Bronze Bell Vajra , Etching Carving , USD: $15, Size :15x8 cm, Material :Bronze"""" src=""""paste-2223c0dc9e9f92d07c199def3dfe3978845dfae5.jpg"""">""",,,,
1683010642559,1702725328,LRZTP LRZTP_07 LRZTP_Colloquial_Lesson_7 LRZTP_Module_1,དྲོད་,,"warmth, heat",n,[sound:184734870_180427_1628_19.mp3][sound:དྲོད།.mp3][sound:དྲོད།སྦྱོར་ཀློག.mp3],[sound:དཔྱིད་ཀ་དྲོད་ཏོག་ཙམ་སླེབས་ཀྱི་རེད།.mp3],"""<img src=""""paste-18916ba193125c7c2f285d510fcbb27da4a40287.jpg"""">""","དཔྱིད་ཀ་དྲོད་ཏོག་ཙམ་སླེབས་ཀྱི་རེད།<br>In spring, a little warmth comes.",,,
1683010679542,1702724695,LRZTP LRZTP_Colloquial_Misc,པྲ་,,"""""""mirror"""" divination, omen""",n,,,"""<img alt=""""Ornate Vintage Scrying Mirror Divination Gazing Witchcraft"""" src=""""paste-6c27a11c16ede614792cc2fae7d90436b74895e3.jpg"""">""",,,,
1683010699748,1702724695,LRZTP,ཕྲེང་བ་,,"rosary, garland",n,,,"""<img src=""""paste-4fdecdb685616d78a2f5ebe15138b6fb8bcb26ee.jpg"""">""",,,,
1683010757399,1702724695,LRZTP LRZTP_Colloquial_Misc,ཕྲད་,,"(v) meet<br>particle, grammatical particle","v, n",,,"""<img alt=""""1,800+ Chance Encounter Stock Photos, Pictures &amp; Royalty-Free Images -  iStock | Meet, First encounter, Serendipity"""" src=""""paste-f2f21514ac0a9846938761f1bed70c471cdedf63.jpg"""">""",,,,
1683010839310,1702724695,LRZTP LRZTP_Colloquial_Misc,བྲག་ཕུག,,"mountain cave, cave in stone, [rock hole]",n,,,"""<img alt=""""602-View at the natural cave entrance at the mountain | AjKenyaSafaris"""" src=""""paste-0b018399a1d83a73b4881fca0ff1637935521fb1.jpg"""">""",རྣལ་འབྱོར་པས་བྲག་ཕུག་གི་ནང་ལ་སྐོམ་རྒྱག་པ་རེད།,,,
