Lesson,Example,Card,Hint
Lesson 11,I don’t need to … (at this moment),"དགོས་ as secondary verb, present, immediate, self, negative",VERB + དགོས་[ཀྱི་]མི་འདོག
Lesson 11,They do not need to … (at this moment),"དགོས་ as secondary verb, present, immediate, other, negative",VERB + དགོས་[ཀྱི་]མི་འདོག
Lesson 11,I don’t need to … (generally),"དགོས་ as secondary verb, present, general / habitual, self, negative",VERB + དགོས་ཀྱི་མེད།
Lesson 11,She doesn’t need to … (generally),"དགོས་ as secondary verb, present, general / habitual, other, negative",VERB + དགོས་ཀྱི་ཡོད་མ་རེད་།
Lesson 11,"I needed to …, I did not need to … ","དགོས་ as secondary verb, past, self",VERB + དགོས་བྱུང་། དགོས་མ་བྱུང་།
Lesson 11,"They needed to …, They did not need to … (I saw)","དགོས་ as secondary verb, past, other, direct experience",VERB + དགོས་སོང་། དགོས་མ་སོང་།
Lesson 11,"They needed to …, They did not need to … (not direct experience)","དགོས་ as secondary verb, past, other, inferential knowledge",VERB + དགོས་བྱུང་བ་རེད། དགོས་བྱུང་ཡོད་མ་རེད།
Lesson 11,"You should not …, He should not …, One should not …",Should not… རྒྱུ་ཡོད་མ་རེད། རྒྱུ་མི་འདུག,
Lesson 12,,འབྲེལ་སྒྲ་ + ནང་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + འོག་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + བར་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + རྒྱབ་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + འཁྲིས་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + ཆེད་དུ་,
Lesson 12,,འབྲེལ་སྒྲ་ + ཕྱི་ལོགས་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + སྒང་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + སྐོར་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + མདུན་ལ་,
Lesson 12,,འབྲེལ་སྒྲ་ + གཡས་གཡོན་ལ་,
Lesson 13,,གཅིག་བུ་ / only,
Lesson 13,,ལས་ / only,
Lesson 13,,མ་གཏོགས་ / only,
Lesson 13,,"མ་གཏོགས་ / apart from, except for",
Lesson 13,,ན་མ་གཏོགས་ / unless,
Lesson 13,,ན་ / conditional with “to have” ཡོད། མེད།,preceding verb in past tense
Lesson 13,,ན་ / conditional with “to be” ཡིན། མིན།,preceding verb in past tense
Lesson 13,,ན་ as “may I” or “is it ok if …”,
Lesson 13,,ན་ / conditional with future tense,
Lesson 13,,ན་ past possible (expressing probable past action),VERB + ཡོད། མེད། + ན་
Lesson 13,,"ན་ past unreal (expressing imaginary scenario), positive",VERB + པ་ཡིན་ན་ – can use པ་ཡོད། པ་མེད། in second part of sentence (the consequence that did not happen) to show speaker has the experience or knoweldge that such would not have happened
Lesson 13,,"ན་ past unreal (expressing imaginary scenario), negative",མ + VERB + པ་ཡིན་ན་ – can use པ་ཡོད། པ་མེད། in second part of sentence (the consequence that did not happen) to show speaker has the experience or knoweldge that such would not have happened
Lesson 13,,ན་ conditional expressing if someone wants something,VERB + འདོད་ཡོད་ན་
Lesson 13,,ན་ conditional expressing if someone does not want something,VERB + འདོད་མེད་ན་
Lesson 13,,ན་ conditional expressing if someone is able to do something,VERB + ཐུན་ན་
Lesson 13,,ན་ conditional expressing if someone is not able to do something,VERB + མ་ཐུབ་ན་
Lesson 13,,ན་ conditional expressing if someone needs something,VERB + དགོས་ཡོད་ན་
Lesson 13,,ན་ conditional expressing if someone does not need something,VERB + དགོས་མེད་ན་
Lesson 14,,བྱས་ཙང་ / therefore,
Lesson 14,,རྒྱུ་མཚན་ག་རེ་རེད་ཟེར་ན་...,
Lesson 14,,ཡོད། མེད། + ཙང་,ཡོད། ཡོད་རེད། འདུག all become ཡོད་ཙང་ (no distinction in terms of evidence)
Lesson 14,,ཡིན། མིན། + ཙང་,ཡིན། མིན། རེད། མ་རེད། become ཡིན་ཙང་ and མིན་ཙང་
Lesson 14,,བྱ་ཚིག་ + ཙང་ (full verb + because),ཤེས་ཙང་ & ཤེས་ཀྱི་ཡོད་ཙང་ – both are ok
Lesson 14,,མ་ + བྱ་ཚིག་ + ཙང་ (negated full verb + because),མ་ཤེས་ཙང་ & ཤེས་ཀྱི་མེད་ཙང་ – both are ok
Lesson 14,,use ཙང་ with past tense reason,past tense form of verb before ཙང་ used
Lesson 14,,future tense positive verb + ཙང་ (ཡག་ཡིན་ཙང་),
Lesson 14,,future tense negative verb + ཙང་ (ཡག་མིན་ཙང་),
Lesson 14,,because one or oneself does want,འདོད་ཡོད་ཙང་
Lesson 14,,because one or oneself does not want,འདོད་མེད་ཙང་
Lesson 14,,because one or oneself is able,ཐུབ་ཙང་
Lesson 14,,because one or oneself is not able,མ་ཐུབ་ཙང་
Lesson 14,,because one has never …,མྱོང་མེད་ཙང་
Lesson 14,,because one has (done X) before …,མྱོང་ཡོད་ཙང་
Lesson 14,,because they do not know …,ཤེས་ཀྱི་མེད་ཙང་
Lesson 14,,because they know …,ཤེས་ཀྱི་ཡོད་ཙང་
Lesson 14,,because one or oneself needs,དགོས་ཡོད་ཙང་
Lesson 14,,because one or oneself does not nees,དགོས་མེད་ཙང་
Lesson 14,,explicit present – because one or oneself is able to …,"ཐུབ་ཀྱི་ཡོད་ཙང་ – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,explicit present – because one or oneself is not able to …,"ཐུབ་ཀྱི་མེད་ཙང་  – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,explicit present – because one or oneself needs …,"དགོས་[ཀྱི་]ཡོད་ཙང་  – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,explicit present – because one or oneself does not need …,"དགོས་[ཀྱི་]མེད་ཙང་  – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,explicit present – because one or oneself wants …,"འདོད་[ཀྱི་]ཡོད་ཙང་  – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,explicit present – because one or oneself does not want …,"འདོད་[ཀྱི་]མེད་ཙང་  – Be careful about འདོད་པ་, དགོས་པ་, ཐུབ་པ་ here. Whereas འགྲོ་དགོས་ཡོད་ཙང་ and འགྲོ་འདོད་ཡོད་ཙང་ are present tense, འགྲོ་ཐུབ་ཡོད་ཙང་ is past tense."
Lesson 14,,ཡིན་ནའི,"Though, although, even though, despite"
Lesson 14,,ཡིན་ན་ཡིང་,"Though, although, even though, despite"
Lesson 14,,"even though one does not have … (use ན་ཡང་: even though, although, though, despite)","མེད་ན་ཡང་, མེད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though one did not have … (use ན་ཡང་: even though, although, though, despite)","མེད་ན་ཡང་, མེད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though one will not have … (use ན་ཡང་: even though, although, though, despite)","མེད་ན་ཡང་, མེད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though one has … (use ན་ཡང་: even though, although, though, despite)","ཡོད་ན་ཡང་, ཡོད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though one had … (use ན་ཡང་: even though, although, though, despite)","ཡོད་ན་ཡང་, ཡོད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though will have … (use ན་ཡང་: even though, although, though, despite)","ཡོད་ན་ཡང་, ཡོད་ནའི་ (past, present, and future the same)"
Lesson 14,,"even though one is not + VERBing (use ན་ཡང་: even though, although, though, despite)",VERB + ཀྱི་མེད་ན་ཡང་ / ནའི་
Lesson 14,,"even though one is + VERBing (use ན་ཡང་: even though, although, though, despite)",VERB + གྱི་ཡོད་ན་ཡང་ / ནའི་
Lesson 14,,"even though one will not + VERB (use ན་ཡང་: even though, although, though, despite)",VERB + ཡག་མིན་ཡང་ / ནའི་
Lesson 14,,"even though one will + VERB (use ན་ཡང་: even though, although, though, despite)",VERB + ཡག་ཡི་ན་ཡང་ / ནའི་
Lesson 14,,"even though one is + NOUN / ADJ (use ན་ཡང་: even though, although, though, despite)",VERB + ཡིན་ན་ཡང་ / ནའི་
Lesson 14,,"even though one is not + NOUN / ADJ (use ན་ཡང་: even though, although, though, despite)",VERB + མིན་ན་ཡང་ / ནའི་
Lesson 14,,ག་པར་ + VERB + ན་ཡང་,"ག་པར་འགྲོ་ན་ཡང་ wherever one goes, ལུང་པ་ག་པར་འགྲོ་ན་ཡང་ wherever country one goes "
Lesson 14,,ག་རེ་ + VERB + ན་ཡང་,དུག་སློག་ག་རེ་གྱོན་ན་ཡང་ whatever clothes one wears
Lesson 14,,སུ་ + VERB + ན་ཡང་,སུ་ཡིན་ན་ཡང་ whoever it is – ལམ་ཀ་བརླག་ན་སུ་ཡིན་ན་ཡང་ཁྱེད་རང་ལ་རོགས་པ་བྱེད་ཀྱི་རེད།
Lesson 14,,ག་དུས་ཡིན་ནའི་,ཁོང་ག་དུས་ཡིན་ནའི་འཆམ་འཆམ་ལ་འགྲོ་གི་ཡོད་རེད། He always goes on walks.
Lesson 14,,ག་གི་ + VERB + ན་ཡང་,"ཁང་པ་ག་གི་གླག་ན་ཡང་གཙང་སྦྲ་ཡག་པོ་བྱེད་དགོས་རེད། Whichever room one rents, one has to keep it clean."
