front,back,part_of_speech
བདེ་གཤེགས་སྙིང་པོ་,"sugatagarbha, buddha-nature",n
ཚུལ་,"how to..., the way to...",n
གསལ་སྟོང་ཟུང་འཇུག་,The union of clarity and emptiness,n
མཚན་ཉིད་མེད་པའི་ཆོས་འཁོར་,[the turning of] the wheel of Dharma [which taught] the absence of characteristics,n
འཕགས་པའི་བདེན་པ་བཞི་,The Four Noble Truths,n
བསོད་ནམས་མ་ཡིན་པ་,Non-meritorious (actions),n
ཡངས་པ་ཅན་,Vaishali,n
བདེན་བཞིའི་ཆོས་འཁོར་,The teaching/turning of the wheel of Dharma regarding the Four [Noble] Truths,n
འཁོར་བ་,Samsara,n
རབ་འབྱོར་,Subhuti,n
མདོ་སྡེ་ལང་ཀར་གཤེགས་པ་,Lankavatara Sutra,n
ལྟ་གཞི་ཀུན་,The basis of all views,n
རྒྱས་བཤད་གནང་བ་,to explain in detail or extensively (H),v
བཀའ་མཐའ་མ་,The third [set of] teachings,n
གཞུང་,"authoritative religious texts, scripture, government",n
མདོ་སྡེ་དགོངས་པ་ངེས་འགྲེལ་,"Saṃdhinirmocana sūtra, The Sutra Unraveling the Intent",n
རི་བོ་མ་ལ་ཡ་,Mount Malaya (Sri Lanka),n
ཉམས་སུ་བླང་བྱ་,What is to be practiced or adopted,n
བཀའ་དང་པོ་,The first [set of] teachings,n
ཀུན་འབྱུང་གི་བདེན་པ་,The Truth of Origin [of suffering],n
བཀའ་བར་བ་,The second [set of] teachings,n
འགོག་པའི་བདེན་པ་,The Truth of Cessation [of suffering],n
མྱ་ངན་ལས་འདས་པ་,Nirvana,n
སྟོང་པ་ཉིད་,Emptiness,n
བདག་འཛིན་,"apprehension of self, grasping self",n
བདག་མེད་པ་,"Selflessness, no-self",n
གོང་དང་གཅིག་པ་,Same as above,
སྐྱབས་འགྲོའི་ངོ་བོ་,The essence of refuge,n
སྐྱོབས་པ་,To protect,v
སྐྱབས་ཡུལ་,The objects of refuge,n
ཡུལ་,Object,n
དངོས་གནས་,Actual,adj
མཐའ་མ་ལ་,At the end,adv
ཡོན་ཏན་མཐོང་བ་,To see good qualities,v
